name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates,checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status,year,region,npg,birth_rate,death_rate,migratory_growth,population
Pali ,8,RAJASTHAN,20,229956,120008,109948,30566,16257,14309,156858,92705,64153,916,880,78.67,89.35,67.08,"25.7710893,73.3234478",16234,10768,5466,A12,18,A32,1239,A65,A73,4,A93,4,61,A143,1,A173,0,1994,Kaliningrad Oblast,-5.6,9.1,14.7,,919306
Pallavaram ,33,TAMIL NADU,3,216308,108381,107927,20936,10585,10351,182201,93828,88373,996,978,93.26,95.94,90.57,"12.9673484,80.1526888",50503,27872,22631,A13,12,A32,3399,A65,A75,2,A93,3,37,A143,1,A174,0,1994,Republic of Kalmykia,4.6,14.8,10.2,,318032
Palwal ,6,HARYANA,21,127931,67887,60044,15662,8614,7048,90937,52028,38909,884,818,81,87.78,73.42,"28.1487362,77.3320262",15837,9276,6561,A13,12,A33,2247,A61,A73,2,A92,2,36,A142,2,A173,0,1994,Kaluga Oblast,-9.3,8.2,17.5,,1080681
Panchkula ,6,HARYANA,1,210175,111622,98553,22111,12024,10087,165235,90938,74297,883,839,87.86,91.31,83.98,"30.6942091,76.860565",62655,32821,29834,A14,6,A32,1766,A61,A73,1,A94,2,21,A143,1,A173,0,1994,Kamchatka Krai,-2,9.2,11.2,,439750
Panihati ,19,WEST BENGAL,11,383522,193333,190189,24678,12599,12079,332924,171788,161136,984,959,92.78,95.05,90.47,"22.6983108,88.3991789",58667,34203,24464,A11,18,A32,2473,A61,A71,4,A93,1,25,A143,1,A171,1,1994,Karachay-Cherkess Republic,2.7,13.3,10.6,,433470
Panipat ,6,HARYANA,7,294150,157302,136848,35477,19246,16231,218023,122629,95394,870,843,84.29,88.83,79.09,"29.3909464,76.9635023",37873,19231,18642,A14,12,A32,1542,A61,A74,2,A93,4,36,A143,1,A173,0,1994,Republic of Karelia,-8.4,8.8,17.2,,778118
Panvel ,27,MAHARASHTRA,24,180464,93135,87329,17512,9213,8299,153138,80790,72348,938,901,93.98,96.27,91.54,"18.9894007,73.1175162",39613,20964,18649,A14,18,A34,3850,A61,A74,3,A93,1,27,A143,2,A173,0,1994,Kemerovo Oblast,-8.1,9.2,17.3,,3072515
Parbhani ,27,MAHARASHTRA,17,307191,157628,149563,40075,21187,18888,225298,123760,101538,949,891,84.34,90.71,77.7,"19.2609958,76.776665",30035,19600,10435,A11,18,A32,3650,A61,A72,1,A92,4,22,A143,1,A173,0,1994,Kirov Oblast,-8,8.6,16.6,,1632494
Patan ,24,GUJARAT,3,125502,65628,59874,12287,6589,5698,99129,55294,43835,912,865,87.56,93.66,80.91,"23.8493246,72.1266255",13430,8422,5008,A11,36,A32,3446,A61,A75,4,A93,2,42,A143,1,A173,1,1994,Kostroma Oblast,-9.7,8.8,18.5,,796563
Pathankot ,3,PUNJAB,1,148357,77833,70524,13496,7488,6008,119483,64673,54810,906,802,88.6,91.94,84.96,"32.2643375,75.6421121",24038,11974,12064,A12,18,A32,3001,A61,A74,2,A92,4,40,A143,1,A173,0,1994,Krasnodar Krai,-5.4,10.4,15.8,,4940794
Patiala ,3,PUNJAB,14,405164,215606,189558,39155,21058,18097,316093,174291,141802,879,859,86.36,89.59,82.7,"30.3397809,76.3868797",86697,43389,43308,A14,36,A32,3079,A65,A73,4,A93,4,36,A143,1,A173,0,1994,Krasnoyarsk Krai,-4.6,10.3,14.9,,3139464
Patna ,10,BIHAR,28,1683200,894158,789042,190496,102208,88288,1264523,694580,569943,882,864,84.71,87.71,81.33,"25.5940947,85.1375645",307603,199207,108396,A14,18,A34,6070,A61,A75,3,A93,4,33,A143,2,A173,0,1994,Republic of Crimea,,,,,
Pilibhit ,9,UTTAR PRADESH,20,130428,68855,61573,11767,6138,5629,88119,48060,40059,894,917,74.26,76.63,71.61,"28.6207939,79.8128649",17508,9986,7522,A14,10,A34,2146,A61,A72,1,A92,3,23,A143,2,A173,0,1994,Kurgan Oblast,-5.3,10.1,15.4,,1100563
Pimpri Chinchwad ,27,MAHARASHTRA,25,1729359,945953,783406,216695,116421,100274,1374986,784984,590002,828,861,90.9,94.63,86.37,"18.6297811,73.7997094",249581,141573,108008,A14,60,A34,13756,A65,A75,2,A93,4,63,A141,1,A174,0,1994,Kursk Oblast,-8.9,9.3,18.2,,1329266
Pithampur ,23,MADHYA PRADESH,21,126099,70577,55522,20438,10872,9566,87417,54030,33387,787,880,82.73,90.49,72.65,"22.613252,75.6822899",5150,3657,1493,A12,60,A31,14782,A62,A75,3,A92,4,60,A141,2,A174,1,1994,Leningrad Oblast,-12,7.3,19.3,,1676115
Porbandar ,24,GUJARAT,11,152136,78490,73646,13867,7415,6452,119545,65171,54374,938,870,86.46,91.69,80.92,"21.6417069,69.6292654",9853,5671,4182,A11,48,A31,7685,A61,A74,2,A92,4,37,A143,1,A173,1,1994,Lipetsk Oblast,-8.1,8.8,16.9,,1242943
Port Blair ,35,ANDAMAN & NICOBAR ISLANDS,3,100608,53247,47361,9358,4852,4506,81908,44908,37000,889,929,89.76,92.79,86.34,"11.6233774,92.7264828",12420,6717,5703,A14,18,A33,2320,A61,A71,2,A94,3,34,A143,2,A173,0,1994,Magadan Oblast,-2.8,8.7,11.5,,300157
Proddatur ,28,ANDHRA PRADESH,20,162816,81368,81448,15516,7999,7517,115011,63111,51900,1001,940,78.08,86.02,70.2,"14.7491864,78.5531577",18151,11844,6307,A14,7,A33,846,A65,A75,3,A93,4,36,A143,1,A173,0,1994,Mari El Republic,-3.8,10.4,14.2,,757680
Puducherry ,34,PUDUCHERRY,2,241773,118205,123568,22412,11245,11167,195861,100419,95442,1045,993,89.29,93.88,84.91,"11.9138598,79.8144722",37830,21086,16744,A12,36,A32,14318,A61,A75,4,A93,2,57,A143,1,A174,1,1994,Republic of Mordovia,-6.1,9.3,15.4,,958247
Pudukkottai ,33,TAMIL NADU,20,117215,58601,58614,10853,5566,5287,98054,50798,47256,1000,950,92.19,95.78,88.62,"10.379663,78.8208454",15104,8275,6829,A14,6,A34,362,A62,A73,4,A92,4,52,A143,2,A172,0,1994,Moscow,-9.5,7.4,16.9,,9066612
Pune ,27,MAHARASHTRA,25,3115431,1602137,1513294,324572,171152,153420,2556743,1361257,1195486,945,896,91.61,95.13,87.91,"18.5204303,73.8567437",656508,349022,307486,A11,20,A32,2212,A65,A74,4,A93,4,39,A143,1,A173,0,1994,Moscow Oblast,-10.8,7.2,18,,6677307
Puri ,21,ORISSA,18,201026,104267,96759,17000,8939,8061,164481,88504,75977,928,902,89.38,92.84,85.66,"19.8133822,85.8314655",27062,16978,10084,A12,18,A32,12976,A61,A71,3,A92,4,38,A143,1,A174,1,1994,Murmansk Oblast,-3.3,8.4,11.7,,1100549
Purnia ,10,BIHAR,9,280547,148021,132526,41046,21081,19965,178381,100735,77646,895,947,74.48,79.36,68.98,"25.7771391,87.4752551",28193,19787,8406,A14,22,A32,1283,A65,A74,4,A92,4,25,A143,1,A173,0,1994,Nenets Autonomous Okrug,2.7,14.3,11.6,,46504
Puruliya ,19,WEST BENGAL,14,121436,62520,58916,11491,5877,5614,90534,50276,40258,942,955,82.34,88.76,75.53,"23.3320779,86.365208",14793,9581,5212,A13,12,A32,1330,A61,A72,4,A93,1,26,A143,1,A173,0,1994,Nizhny Novgorod Oblast,-9.6,8.3,17.9,,3737364
Rae Bareli ,9,UTTAR PRADESH,27,191056,99844,91212,18866,9886,8980,142863,78519,64344,914,908,82.97,87.28,78.25,"26.2345298,81.2408689",34959,20169,14790,A14,30,A33,4272,A62,A73,2,A93,2,26,A143,2,A172,0,1994,Novgorod Oblast,-12.3,8.1,20.4,,742100
Raichur ,29,KARNATAKA,5,232456,117408,115048,27924,14286,13638,158452,86973,71479,980,955,77.47,84.34,70.49,"16.2120031,77.3439283",22445,14425,8020,A14,18,A34,2238,A61,A73,2,A92,1,25,A143,2,A173,0,1994,Novosibirsk Oblast,-7,8.8,15.8,,2733738
Raiganj ,19,WEST BENGAL,4,183682,96589,87093,20547,10576,9971,133215,72475,60740,902,943,81.66,84.26,78.76,"25.6185295,88.1255837",16788,10419,6369,A14,18,A32,1126,A65,A72,4,A92,2,21,A143,1,A173,0,1994,Omsk Oblast,-2.4,10.6,13,,2164114
Raigarh ,22,CHHATTISGARH,4,137097,70234,66863,16576,8637,7939,105512,57679,47833,952,919,87.55,93.64,81.18,"21.8974003,83.3949632",20161,12214,7947,A12,18,A34,7374,A61,A71,4,A93,4,40,A142,2,A174,0,1994,Orenburg Oblast,-3.1,11.1,14.2,,2196785
Raipur ,22,CHHATTISGARH,11,1010087,519286,490801,124471,64522,59949,769593,420155,349438,945,929,86.9,92.39,81.1,"21.2513844,81.6296413",147194,84384,62810,A12,15,A34,2326,A63,A73,2,A93,4,27,A141,1,A173,0,1994,Oryol Oblast,-7.4,9.5,16.9,,907552
Rajahmundry ,28,ANDHRA PRADESH,14,343903,169786,174117,29883,15152,14731,264653,136288,128365,1026,972,84.28,88.14,80.54,"17.0005383,81.8040345",53604,32901,20703,A14,9,A32,1449,A61,A74,3,A92,2,27,A143,2,A173,0,1994,Penza Oblast,-7.5,8.7,16.2,,1553178
Rajapalayam ,33,TAMIL NADU,24,130119,64624,65495,10504,5371,5133,103172,54622,48550,1013,956,86.25,92.18,80.43,"9.4653377,77.5275463",11024,6514,4510,A14,18,A32,1820,A61,A73,2,A94,2,30,A143,1,A174,0,1994,Perm Krai,-7.5,9.8,17.3,,2982229
Rajarhat Gopalpur ,19,WEST BENGAL,11,404991,205560,199431,34088,17354,16734,337188,175680,161508,970,964,90.91,93.34,88.4,"22.6321975,88.4540911",73182,42023,31159,A12,12,A32,983,A64,A72,1,A92,4,19,A143,1,A172,0,1994,Primorsky Krai,-3.7,10,13.7,,2284070
Rajkot ,24,GUJARAT,9,1286995,675731,611264,131841,72139,59702,1026040,559369,466671,905,828,88.82,92.67,84.61,"22.3038945,70.8021599",148048,78946,69102,A11,36,A32,3249,A61,A74,2,A93,4,39,A141,1,A174,0,1994,Pskov Oblast,-14.7,8,22.7,,832136
Rajnandgaon ,22,CHHATTISGARH,9,163122,81873,81249,18677,9610,9067,127042,68134,58908,992,943,87.95,94.29,81.61,"21.0971034,81.0302222",19640,11324,8316,A11,6,A34,1957,A61,A74,1,A92,4,31,A143,1,A173,0,1994,Altai Republic,0.3,14.8,14.5,,196977
Rajpur Sonarpur ,19,WEST BENGAL,17,423806,215983,207823,31588,16186,15402,357154,188374,168780,962,952,91.06,94.28,87.71,"22.4490894,88.3914731",68707,40399,28308,A14,9,A34,2406,A61,A71,2,A93,3,31,A143,1,A174,0,1994,Komi Republic,-3.6,10.1,13.7,,1192063
Ramagundam ,28,ANDHRA PRADESH,3,229632,116920,112712,16967,8946,8021,160646,89722,70924,964,897,75.54,83.1,67.75,"18.7595503,79.4816378",27209,17266,9943,A12,39,A33,11760,A62,A74,2,A93,3,32,A143,1,A173,0,1994,Tuva Republic,6.6,20.1,13.5,,302160
Rampur ,9,UTTAR PRADESH,5,325248,169826,155422,37945,19736,18209,174508,95157,79351,915,923,60.74,63.4,57.83,"25.4842209,82.5916032",30319,16005,14314,A11,12,A32,2578,A61,A71,3,A92,4,55,A143,1,A174,0,1994,Rostov Oblast,-6.1,9.5,15.6,,4438295
Ranchi ,20,JHARKHAND,19,1073440,559031,514409,122353,64446,57907,841652,459317,382335,920,899,88.49,92.87,83.75,"23.3440997,85.309562",200849,120922,79927,A11,36,A34,2348,A61,A73,3,A94,2,46,A143,2,A173,0,1994,Ryazan Oblast,-11,8.1,19.1,,1335735
Ranibennur ,29,KARNATAKA,10,106365,53933,52432,11572,5982,5590,85298,43234,42064,972,934,89.98,90.16,89.8,"14.6113428,75.6382657",9747,6122,3625,A12,12,A32,1223,A61,A75,1,A91,1,46,A143,2,A173,1,1994,Samara Oblast,-6.1,9.1,15.2,,3278648
Raniganj ,19,WEST BENGAL,9,128624,67150,61474,14833,7759,7074,89293,50250,39043,915,912,78.47,84.61,71.77,"23.6290575,87.0923906",9719,6225,3494,A14,24,A34,1516,A64,A73,4,A92,1,43,A143,2,A172,0,1994,Saint Petersburg,-10.1,7.1,17.2,,4881563
Ratlam ,23,MADHYA PRADESH,17,264810,135007,129803,28413,14780,13633,207742,111921,95821,961,922,87.88,93.09,82.48,"23.3341696,75.0376325",36589,20861,15728,A14,18,A32,1473,A61,A72,3,A94,4,39,A143,1,A173,0,1994,Saratov Oblast,-6.5,9.4,15.9,,2724629
Raurkela Industrial Township ,21,ORISSA,5,210412,109823,100589,20399,10817,9582,164546,90631,73915,916,886,86.6,91.54,81.22,"22.1993143,84.8620054",22887,12544,10343,A12,18,A34,1887,A65,A73,4,A94,4,28,A141,2,A173,0,1994,Sakhalin Oblast,-4.9,9.4,14.3,,688638
Raurkela Town ,21,ORISSA,5,273217,144949,128268,29050,15297,13753,214744,119761,94983,885,899,87.95,92.37,82.94,"22.260423,84.8535844",38314,22541,15773,A14,24,A33,8648,A61,A72,2,A93,2,27,A141,2,A173,1,1994,Sverdlovsk Oblast,-7.8,9,16.8,,4700591
Rewa ,23,MADHYA PRADESH,13,235422,124634,110788,24234,13131,11103,185291,103599,81692,889,846,87.74,92.91,81.95,"24.5372927,81.30418",41109,25406,15703,A14,14,A33,802,A61,A73,4,A93,2,27,A143,2,A172,0,1994,Sevastopol,,,,,
Rewari ,6,HARYANA,17,140864,74689,66175,15986,8958,7028,110205,61933,48272,886,785,88.25,94.22,81.61,"28.1927631,76.6239423",22539,12960,9579,A12,18,A33,2899,A65,A75,4,A93,4,43,A143,1,A173,0,1994,Republic of North Ossetia-Alania,0.7,13.2,12.5,,661144
Rishra ,19,WEST BENGAL,12,124585,66767,57818,11430,6015,5415,100581,56155,44426,866,900,88.89,92.43,84.78,"22.7244023,88.3287896",14585,9452,5133,A12,24,A32,2039,A61,A72,1,A94,1,22,A143,1,A173,1,1994,Smolensk Oblast,-9.6,8.6,18.2,,1151190
Robertson Pet ,29,KARNATAKA,27,146428,72378,74050,13322,6619,6703,119258,61304,57954,1023,1013,89.6,93.23,86.05,"12.9551189,78.2698622",13400,7030,6370,A14,24,A34,2197,A65,A74,4,A93,4,43,A143,2,A173,0,1994,Stavropol Krai,-2.4,11.2,13.6,,2619617
Rohtak ,6,HARYANA,14,373133,197754,175379,40715,22711,18004,279509,155679,123830,887,793,84.08,88.94,78.68,"28.8955152,76.606611",65881,35890,29991,A11,15,A32,1053,A61,A72,4,A94,2,27,A143,1,A173,0,1994,Tambov Oblast,-9.5,9,18.5,,1301227
Roorkee ,5,UTTARAKHAND,13,118188,63508,54680,11596,6337,5259,96674,53928,42746,861,830,90.7,94.33,86.49,"29.8542626,77.8880002",30594,16630,13964,A14,24,A32,3235,A63,A75,3,A91,2,26,A143,1,A174,0,1994,Republic of Tatarstan,-1.8,11.2,13,,3740811
Rudrapur ,5,UTTARAKHAND,12,140884,74276,66608,19727,10342,9385,88700,51407,37293,897,907,73.21,80.41,65.17,"28.9875082,79.4141214",14678,8208,6470,A13,12,A34,939,A63,A74,4,A94,2,28,A143,3,A173,1,1994,Tver Oblast,-13.6,7.8,21.4,,1627224
S.A.S. Nagar ,3,PUNJAB,18,146104,76441,69663,13155,6975,6180,123930,66100,57830,911,886,93.22,95.15,91.1,"30.6496486,76.7567368",57323,30110,27213,A12,24,A32,1967,A61,A75,4,A92,4,20,A143,1,A173,0,1994,Tomsk Oblast,-4.8,8.1,12.9,,1067978
Sagar ,23,MADHYA PRADESH,10,273357,142655,130702,32171,16725,15446,217632,119068,98564,916,924,90.23,94.55,85.52,"23.838805,78.7378068",39717,23428,16289,A14,33,A34,7253,A61,A74,3,A93,2,35,A143,2,A174,0,1994,Tula Oblast,-13,7.6,20.6,,1826600
Saharanpur ,9,UTTAR PRADESH,1,703345,371858,331487,88501,47024,41477,479218,265417,213801,891,882,77.94,81.71,73.72,"29.967079,77.5510172",80749,42772,37977,A14,12,A34,2292,A61,A71,4,A93,2,42,A142,2,A174,1,1994,Tyumen Oblast,0.8,10.9,10.1,,1393935
Saharsa ,10,BIHAR,12,155175,82589,72586,24582,12814,11768,101425,58689,42736,879,918,77.66,84.11,70.27,"25.8834961,86.6006249",18307,13209,5098,A14,10,A32,1597,A63,A73,3,A93,2,40,A143,1,A172,0,1994,Udmurt Republic,-4.5,10.4,14.9,,1620134
Salem ,33,TAMIL NADU,7,831038,418337,412701,73218,37452,35766,642662,341725,300937,987,955,84.8,89.72,79.84,"11.664325,78.1460142",93297,54325,38972,A11,24,A32,1381,A65,A73,4,A92,2,35,A143,1,A173,1,1994,Ulyanovsk Oblast,-4.1,9.9,14,,1462824
Sambalpur ,21,ORISSA,3,183383,94627,88756,18555,9857,8698,141329,76545,64784,938,882,85.74,90.3,80.92,"21.4668716,83.9811665",26095,16194,9901,A14,36,A34,5842,A61,A75,2,A93,2,35,A143,2,A173,0,1994,Khabarovsk Krai,-3.4,10,13.4,,1591454
Sambhal ,9,UTTAR PRADESH,4,221334,116008,105326,34279,17702,16577,92608,51382,41226,908,936,49.51,52.27,46.45,"28.5903614,78.5717631",10580,5780,4800,A11,12,A32,2579,A61,A72,4,A93,1,33,A143,1,A172,1,1994,Republic of Khakassia,-5.6,10.9,16.5,,573123
Sangli Miraj Kupwad ,27,MAHARASHTRA,35,502697,255270,247427,51536,27524,24012,397395,212703,184692,969,872,88.08,93.39,82.67,"16.8541887,74.6049061",60752,34112,26640,A11,18,A33,8471,A65,A73,1,A92,2,23,A143,2,A173,0,1994,Khanty–Mansi Autonomous Okrug – Yugra,4.1,11.8,7.7,,1279483
Santipur ,19,WEST BENGAL,10,151774,77044,74730,12975,6565,6410,113028,60420,52608,970,976,81.43,85.73,77,"23.2645399,88.4380966",7213,4725,2488,A14,21,A32,2782,A63,A74,1,A92,2,31,A141,1,A174,0,1994,Chelyabinsk Oblast,-5.8,9.1,14.9,,3682673
Sasaram ,10,BIHAR,32,147396,77687,69709,19363,10189,9174,105378,58900,46478,897,900,82.31,87.26,76.78,"24.949036,84.0314295",18844,13181,5663,A12,18,A32,1042,A65,A73,4,A92,2,33,A143,1,A173,1,1994,Chechen Republic,,,,,1307071
Satara ,27,MAHARASHTRA,31,120079,61075,59004,11023,5833,5190,101320,53241,48079,966,890,92.91,96.38,89.34,"17.6804639,74.018261",22292,12269,10023,A14,15,A32,3186,A64,A74,2,A92,3,20,A143,1,A173,0,1994,Chuvash Republic,-2.6,10.8,13.4,,1345489
Satna ,23,MADHYA PRADESH,12,280248,147924,132324,31822,16987,14835,214468,120464,94004,895,873,86.33,92,80.01,"24.6005075,80.8322428",37695,23396,14299,A12,12,A32,2028,A65,A73,4,A93,2,30,A143,1,A173,0,1994,Chukotka Autonomous Okrug,2.6,11.1,8.5,,111422
Sawai Madhopur ,8,RAJASTHAN,10,120998,63223,57775,15286,8170,7116,85472,50438,35034,914,871,80.85,91.62,69.16,"26.0377772,76.3521514",13480,8980,4500,A12,12,A34,958,A61,A74,2,A93,3,47,A143,2,A172,0,1994,Sakha (Yakutia) Republic,5.7,15.6,9.9,,1064617
Secunderabad ,28,ANDHRA PRADESH,5,213698,111664,102034,19802,10113,9689,170148,92956,77192,914,958,87.75,91.54,83.59,"17.4399295,78.4982741",42492,23836,18656,A14,21,A33,1591,A62,A74,4,A93,3,34,A143,2,A174,0,1994,Yamalo-Nenets Autonomous Okrug,7,13.3,6.3,,467467
Sehore ,23,MADHYA PRADESH,28,108818,56284,52534,12859,6743,6116,82066,44937,37129,933,907,85.52,90.71,79.99,"23.205012,77.0850781",13887,8074,5813,A12,12,A32,2762,A65,A75,1,A92,2,25,A141,1,A173,1,1994,Yaroslavl Oblast,-11.1,7.8,18.9,,1456922
Seoni ,23,MADHYA PRADESH,39,102377,52354,50023,10413,5467,4946,83832,44862,38970,955,905,91.16,95.68,86.45,"22.0868691,79.5434841",16335,9574,6761,A12,18,A32,2779,A61,A73,1,A94,3,21,A143,1,A173,0,1995,Republic of Adygea,-3.7,10.7,14.4,,449864
Serampore ,19,WEST BENGAL,12,183339,94514,88825,12817,6547,6270,153460,81592,71868,940,958,89.99,92.75,87.05,"22.748331,88.3385053",30060,17706,12354,A14,28,A34,2743,A61,A75,4,A93,2,29,A143,2,A173,0,1995,Altai Krai,-6,8.7,14.7,,2694271
Shahjahanpur ,9,UTTAR PRADESH,21,327975,173133,154842,36606,19420,17186,200804,112011,88793,894,885,68.92,72.87,64.5,"27.8295801,79.8296743",33510,18302,15208,A14,18,A34,1149,A64,A73,4,A93,3,46,A143,2,A173,0,1995,Amur Oblast,-1.9,10.6,12.5,,995012
Shamli ,9,UTTAR PRADESH,2,107233,57236,49997,13724,7634,6090,76650,43469,33181,874,798,81.97,87.64,75.57,"29.4507575,77.3152116",13343,7245,6098,A14,9,A32,1313,A61,A75,1,A93,4,20,A143,1,A173,0,1995,Arkhangelsk Oblast,-6.1,8.9,15,,1453656
Shikohabad ,9,UTTAR PRADESH,16,107300,57017,50283,12956,7106,5850,77060,43030,34030,882,823,81.68,86.21,76.59,"27.1061756,78.5881674",15351,9119,6232,A11,18,A34,1190,A61,A71,2,A92,4,55,A143,3,A171,1,1995,Astrakhan Oblast,-3.4,10.2,13.6,,1014170
Shillong ,17,MEGHALAYA,6,143007,70028,72979,13792,7120,6672,119313,59420,59893,1042,937,92.34,94.46,90.33,"25.5714,91.8848",25113,12466,12647,A14,5,A32,3448,A61,A74,1,A93,4,74,A143,1,A172,0,1995,Republic of Bashkortostan,-1.5,11.2,12.7,,4062622
Shimla ,2,HIMACHAL PRADESH,11,169758,93364,76394,13646,7221,6425,147799,82486,65313,818,890,94.67,95.75,93.35,"31.1048145,77.1734033",43353,23822,19531,A12,24,A32,11328,A61,A73,2,A93,3,29,A141,2,A174,1,1995,Belgorod Oblast,-5.4,9.4,14.8,,1454923
Shimoga ,29,KARNATAKA,14,322428,161978,160450,31626,16130,15496,255971,133191,122780,991,961,88.02,91.32,84.7,"13.9299299,75.568101",37463,21835,15628,A11,6,A34,1872,A61,A71,4,A93,4,36,A143,3,A174,0,1995,Bryansk Oblast,-6.7,9.3,16,,1469251
Shivpuri ,23,MADHYA PRADESH,6,179972,95227,84745,22683,12075,10608,124641,72107,52534,890,879,79.24,86.72,70.86,"25.4357869,77.665066",22320,13796,8524,A14,24,A34,2058,A61,A73,4,A91,2,33,A143,2,A173,0,1995,Republic of Buryatia,-0.3,11.9,12.2,,1037366
Sikar ,8,RAJASTHAN,13,237579,123156,114423,32189,17236,14953,158413,91403,67010,929,868,77.13,86.29,67.37,"27.6094,75.139911",20786,13799,6987,A11,9,A32,2136,A61,A73,3,A93,2,25,A143,1,A173,0,1995,Vladimir Oblast,-8.9,7.7,16.6,,1630514
Silchar ,18,ASSAM,17,172709,86812,85897,15467,7977,7490,144255,74082,70173,989,939,91.74,93.97,89.5,"24.8332708,92.7789054",22274,12716,9558,A12,12,A32,1484,A65,A73,2,A94,1,25,A143,1,A173,1,1995,Volgograd Oblast,-5.5,9,14.5,,2717867
Siliguri ,19,WEST BENGAL,99,509709,261218,248491,48250,25023,23227,394366,209792,184574,951,928,85.46,88.82,81.94,"26.7271012,88.3952861",65003,38470,26533,A14,6,A32,660,A63,A74,2,A94,4,23,A143,1,A172,0,1995,Vologda Oblast,-7.7,8.7,16.4,,1339926
Singrauli ,23,MADHYA PRADESH,46,220295,117276,103019,29569,15438,14131,147527,87870,59657,878,915,77.35,86.28,67.11,"24.1992101,82.6645469",18047,11646,6401,A14,24,A34,1287,A64,A75,4,A92,4,37,A143,2,A173,0,1995,Voronezh Oblast,-8.4,8.3,16.7,,2494979
Sirsa ,6,HARYANA,11,183282,96806,86476,20161,11161,9000,135435,75796,59639,893,806,83.03,88.5,76.98,"29.5335931,75.0177029",24453,13473,10980,A11,42,A34,3394,A61,A71,4,A93,4,65,A143,2,A171,0,1995,Republic of Dagestan,13.6,20.7,7.1,,2200039
Sitapur ,9,UTTAR PRADESH,23,177351,93410,83941,18529,9871,8658,131995,72197,59798,899,877,83.11,86.42,79.43,"27.5325072,80.8986502",28003,15740,12263,A13,12,A31,609,A61,A72,4,A92,1,26,A143,1,A171,1,1995,Jewish Autonomous Oblast,-2.7,11.1,13.8,,209552
Siwan ,10,BIHAR,16,134458,70670,63788,17632,9440,8192,98898,56152,42746,903,868,84.65,91.71,76.89,"26.2196205,84.3566593",14545,9727,4818,A14,12,A32,1884,A61,A75,4,A93,4,39,A143,1,A174,0,1995,Zabaykalsky Krai,-0.6,12.7,13.3,,1256389
Solapur ,27,MAHARASHTRA,30,951118,482194,468924,104466,54728,49738,710180,390335,319845,972,909,83.88,91.31,76.3,"17.6599188,75.9063906",88638,54159,34479,A11,12,A32,1620,A61,A73,2,A92,3,30,A143,1,A173,0,1995,Ivanovo Oblast,-11.2,7.4,18.6,,1260347
Sonipat ,6,HARYANA,8,277053,147933,129120,30809,17232,13577,215609,121821,93788,873,788,87.56,93.21,81.17,"28.9287735,77.091281",46858,25676,21182,A12,20,A33,2629,A61,A73,2,A93,3,29,A141,2,A173,0,1995,Republic of Ingushetia,18.5,25.3,6.8,,263092
South Dum Dum ,19,WEST BENGAL,11,410524,206558,203966,26900,13734,13166,356092,183454,172638,987,959,92.82,95.14,90.48,"22.6059435,88.3967536",102942,57940,45002,A14,12,A32,719,A61,A75,4,A93,4,41,A141,1,A172,1,1995,Irkutsk Oblast,-4.1,10.9,15,,2748073
Srikakulam ,28,ANDHRA PRADESH,11,126003,62583,63420,11001,5686,5315,97904,52029,45875,1013,935,85.13,91.44,78.95,"18.4285005,84.0167423",21745,14125,7620,A12,48,A34,5096,A61,A73,2,A92,3,30,A143,1,A174,1,1995,Kabardino-Balkar Republic,3.2,13.1,9.9,,821149
Srinagar ,1,JAMMU & KASHMIR,10,1192792,631916,560876,148178,79293,68885,741441,428915,312526,888,869,70.98,77.61,63.52,"34.0836708,74.7972825",135783,75825,59958,A14,9,A34,1244,A65,A75,4,A92,4,41,A143,2,A172,0,1995,Kaliningrad Oblast,-5,8.5,13.5,,933735
Sujangarh ,8,RAJASTHAN,4,101528,52078,49450,14723,7775,6948,64716,37914,26802,950,894,74.55,85.58,63.06,"27.7044756,74.4642861",5284,3664,1620,A11,36,A32,1842,A61,A72,4,A92,4,34,A143,1,A173,1,1995,Republic of Kalmykia,3.1,13.7,10.6,,316633
Sultan Pur Majra ,7,NCT OF DELHI,1,181624,95816,85808,24254,12842,11412,125557,72458,53099,896,889,79.78,87.33,71.37,"28.6958531,77.0805496",7390,4719,2671,A12,7,A32,2576,A61,A73,2,A93,2,35,A143,1,A173,0,1995,Kaluga Oblast,-8.6,7.9,16.5,,1087278
Sultanpur ,9,UTTAR PRADESH,48,107914,56674,51240,11266,5975,5291,85656,46736,38920,904,886,88.63,92.18,84.7,"26.2647757,82.0727061",20475,12130,8345,A13,12,A32,1424,A65,A75,3,A92,4,55,A143,1,A174,0,1995,Kamchatka Krai,-2,9.2,11.2,,421582
Surat ,24,GUJARAT,25,4462002,2538243,1923759,531522,293208,238314,3499228,2082588,1416640,758,813,89.03,92.76,84.05,"21.1702401,72.8310607",278795,160566,118229,A12,15,A33,1512,A64,A73,3,A94,3,61,A142,2,A173,1,1995,Karachay-Cherkess Republic,2.6,12.9,10.3,,435474
